"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5,J6";"Hirose_DF13-03P-1.25DSA_1x03_P1.25mm_Vertical";2;"Conn_01x03_Pin";;;
2;"C7";"C_Disc_D5.1mm_W3.2mm_P5.00mm";1;"C0.01uF";;;
3;"SW6,SW4,SW2,SW5,SW3";"SW_SPST_CK_KMS2xxGP";5;"CK_KMS2xxGP";;;
4;"R2";"R_1210_3225Metric";1;"R33k";;;
5;"C1,C2";"C_0805_2012Metric";2;"C 10uF";;;
6;"R4";"R_2512_6332Metric";1;"R";;;
7;"R1";"R_2512_6332Metric";1;"R47k";;;
8;"D3,D2";"LED_0402_1005Metric";2;"LED";;;
9;"RV2";"Potentiometer_Bourns_3296X_Horizontal";1;"R_100ohm";;;
10;"C4,C3";"C_Disc_D5.1mm_W3.2mm_P5.00mm";2;"C";;;
11;"C8,C9";"C_0402_1005Metric";2;"C_Small";;;
12;"RV3";"Potentiometer_Alps_RK163_Dual_Horizontal";1;"R_Potentiometer_10k";;;
13;"L1";"L_10.4x10.4_H4.8";1;"L_100uH";;;
14;"C6,C5";"C_Disc_D7.0mm_W2.5mm_P5.00mm";2;"C100p";;;
15;"R8";"R_0201_0603Metric";1;"R_Small";;;
16;"J4,J3";"Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal";2;"AudioJack3_Ground";;;
17;"J10";"Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal";1;"AudioJack3_Radio";;;
18;"L3";"L_10.4x10.4_H4.8";1;"L";;;
19;"R7,R5,R3";"R_1210_3225Metric";3;"R10K";;;
20;"Q1";"TO-92_Inline";1;"9013";;;
21;"L2";"L_Taiyo-Yuden_MD-4040";1;"1uH";;;
22;"SW1";"SW_CK_JS202011CQN_DPDT_Straight";1;"SW_DPDT_x2";;;
23;"J8";"PinHeader_1x15_P2.54mm_Vertical";1;"Conn_01x15_PinRight";;;
24;"J9";"Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal";1;"AudioJack3_Key";;;
25;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"D_C145491";;;
26;"J2";"BNC_Amphenol_B6252HB-NPP3G-50_Horizontal";1;"Conn_Coaxial";;;
27;"J7";"PinHeader_1x15_P2.54mm_Vertical";1;"Conn_01x15_PinLeft";;;
28;"R6";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"R100k";;;
29;"J1";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack_MountingPin";;;
30;"U1";"DIP-8_W7.62mm_SMDSocket_SmallPads";1;"LM386";;;
31;"RV1";"Potentiometer_Alps_RK163_Dual_Horizontal";1;"R_Pot50k";;;
32;"Q2";"TO-92_Inline";1;"8050";;;
